	lat	long	pressure	depth (m)	sigmat	Salinity	temp				oxygen (uM)	oxygen (ml/L)		
1789.319	17.6833	-102.35006	52.319	52	25.3872	34.6997	16.5686	0.4185	2.03E+00	5.97E+00	1.922	0.2227	0.0971	0.00E+00
1790.955	17.6833	-102.35006	51.313	51	25.355	34.6919	16.6806	0.4103	2.36E+00	6.59E+00	2.694	0.1892	0.0969	0.00E+00
1793.256	17.6833	-102.35006	50.307	50	25.3192	34.6782	16.7877	0.4107	2.59E+00	7.24E+00	3.263	0.1655	0.0968	0.00E+00
1795.014	17.6833	-102.35006	49.3	49	25.3321	34.6846	16.7545	0.4155	2.06E+00	7.79E+00	2.403	0.1594	0.0968	0.00E+00
1796.386	17.6833	-102.35006	48.294	48	25.3075	34.6848	16.8593	0.4139	1.80E+00	8.45E+00	4.727	0.168	0.097	0.00E+00
1798.052	17.6833	-102.35006	47.288	47	25.1998	34.6529	17.2099	0.4135	1.86E+00	9.23E+00	7.605	0.2001	0.0967	0.00E+00
1799.936	17.6833	-102.35006	46.282	46	25.1413	34.6371	17.4026	0.4233	1.93E+00	1.01E+01	8.011	0.1571	0.0969	0.00E+00
1802.42	17.6833	-102.35006	45.276	45	25.1756	34.648	17.2943	0.4224	2.32E+00	1.11E+01	5.984	0.1587	0.097	0.00E+00
1805.659	17.6833	-102.35006	44.269	44	25.2391	34.6649	17.0826	0.4217	1.91E+00	1.23E+01	6.647	0.1506	0.0969	0.00E+00
1806.87	17.6833	-102.35006	43.263	43	25.108	34.6308	17.5206	0.4175	1.75E+00	1.35E+01	10.933	0.2022	0.0968	0.00E+00
1808.21	17.6833	-102.35006	42.257	42	25.0398	34.6172	17.7581	0.4165	1.93E+00	1.50E+01	13.312	0.1916	0.0969	0.00E+00
1810.125	17.6833	-102.35006	41.251	41	24.9848	34.6023	17.937	0.4196	1.88E+00	1.67E+01	13.702	0.1707	0.097	0.00E+00
1811.931	17.6833	-102.35006	40.245	40	25.0138	34.6115	17.8464	0.4168	2.01E+00	1.82E+01	12.687	0.1762	0.0968	0.00E+00
1814.133	17.6833	-102.35006	39.238	39	25.0166	34.6085	17.8256	0.42	2.13E+00	2.03E+01	11.996	0.1702	0.0925	0.00E+00
1816.397	17.6833	-102.35006	38.232	38	25.0062	34.6198	17.9033	0.4243	1.91E+00	2.20E+01	18.923	0.2356	0.0011	0.00E+00
1817.956	17.6833	-102.35006	37.226	37	24.8418	34.5734	18.4251	0.4217	2.15E+00	2.44E+01	26.043	0.2813	0.0037	0.00E+00
1819.701	17.6833	-102.35006	36.22	36	24.7965	34.5621	18.5703	0.43	2.62E+00	2.69E+01	24.298	0.5814	0.0036	0.00E+00
1822.51	17.6833	-102.35006	35.214	35	24.9204	34.5907	18.1601	0.4267	2.47E+00	2.93E+01	20.773	1.3007	0.0035	0.00E+00
1824.139	17.6833	-102.35006	34.207	34	24.7014	34.5525	18.9191	0.4284	2.34E+00	3.18E+01	38.454	1.9422	0.003	0.00E+00
1825.566	17.6833	-102.35006	33.201	33	24.622	34.5379	19.1852	0.4295	2.50E+00	3.54E+01	43.036	2.3129	0.0026	0.00E+00
1827.757	17.6833	-102.35006	32.195	32	24.5073	34.5177	19.5695	0.4284	2.90E+00	3.80E+01	58.334	2.9042	0.0024	0.00E+00
1829.86	17.6833	-102.35006	31.189	31	24.3298	34.4708	20.1128	0.4305	2.65E+00	4.00E+01	67.968	3.6696	0.0024	0.00E+00
1831.452	17.6833	-102.35006	30.183	30	24.3686	34.4964	20.0435	0.4364	2.92E+00	4.44E+01	76.835	4.2181	0.0024	0.00E+00
1833.159	17.6833	-102.35006	29.176	29	24.188	34.4551	20.6004	0.4395	3.20E+00	4.71E+01	90.226	4.4021	0.0024	0.00E+00
1835.207	17.6833	-102.35006	28.17	28	24.1458	34.4588	20.7679	0.445	3.28E+00	4.88E+01	100.154	4.4017	0.0024	0.00E+00
1837.775	17.6833	-102.35006	27.164	27	23.9929	34.4418	21.2834	0.4454	3.03E+00	4.98E+01	129.429	4.4014	0.0024	0.00E+00
1839.882	17.6833	-102.35007	26.158	26	23.917	34.4566	21.5993	0.4515	3.13E+00	5.38E+01	146.588	4.4017	0.0024	0.00E+00
1841.554	17.6833	-102.35008	25.152	25	23.7163	34.4312	22.2518	0.4517	3.36E+00	5.71E+01	170.453	4.4017	0.0024	0.00E+00
1843.034	17.6833	-102.35008	24.146	24	23.6385	34.4334	22.5323	0.4616	3.33E+00	5.99E+01	173.32	4.4017	0.0024	0.00E+00
1844.905	17.6833	-102.35008	23.14	23	23.644	34.4431	22.5402	0.4674	3.53E+00	6.14E+01	168.048	4.4017	0.0368	0.00E+00
1846.934	17.6833	-102.35008	22.134	22	23.6026	34.447	22.6933	0.4697	3.32E+00	6.21E+01	176.024	4.4021	0.0989	0.00E+00
1848.527	17.6833	-102.35008	21.128	21	23.5495	34.4482	22.8836	0.4715	3.49E+00	6.67E+01	180.232	4.3065	0.0965	0.00E+00
1851.491	17.6833	-102.35008	20.121	20	23.2886	34.4675	23.8331	0.4714	2.70E+00	6.79E+01	195.981	1.8903	0.0967	0.00E+00
1853.064	17.6833	-102.35008	19.115	19	23.3728	34.4612	23.5281	0.4728	1.98E+00	7.12E+01	195.906	1.1385	0.0965	0.00E+00
1854.17	17.6833	-102.35006	18.109	18	23.2678	34.4886	23.9553	0.4717	1.79E+00	7.66E+01	196.748	0.9183	0.0965	0.00E+00
1856.586	17.6833	-102.35007	17.103	17	23.0709	34.4954	24.6326	0.4588	1.50E+00	8.12E+01	203.02	0.6361	0.0966	0.00E+00
1858.958	17.6833	-102.35008	16.097	16	23.0456	34.5054	24.7445	0.4579	1.07E+00	8.53E+01	197.708	0.5288	0.0966	0.00E+00
1860.486	17.6833	-102.35008	15.091	15	23.2096	34.5071	24.1987	0.455	1.16E+00	8.98E+01	198.893	0.5253	0.0966	0.00E+00
1863.18	17.6833	-102.35008	14.085	14	22.9457	34.5163	25.0995	0.4509	1.21E+00	9.55E+01	209.037	0.5121	0.0966	0.00E+00
1866.325	17.6833	-102.35006	13.078	13	22.8252	34.5329	25.5359	0.4517	1.03E+00	9.98E+01	206.223	0.5179	0.0966	0.00E+00
1871.924	17.6833	-102.35006	12.072	12	22.6576	34.5464	26.1111	0.4522	8.23E-01	1.03E+02	201.9	0.561	0.0966	0.00E+00
1877.022	17.68329	-102.35006	11.066	11	22.5132	34.5948	26.6857	0.4429	6.82E-01	1.05E+02	199.878	2.0961	0.0109	0.00E+00
