				depth		Salinity	Temp 							
693.524	10.00004	-112.99996	122.736	122	26.2607	34.7954	12.8852	0.334	4.31E-01	7.20E-02	0.081	0.7775	0.0012	0.00E+00
694.921	10.00004	-112.99996	121.724	121	26.2578	34.795	12.8976	0.3343	4.60E-01	7.80E-02	0.071	0.7784	0.0011	0.00E+00
696.297	10.00004	-112.99996	120.708	120	26.2549	34.8004	12.9333	0.3344	4.27E-01	8.44E-02	-0.09	0.7789	0.0012	0.00E+00
697.178	10.00004	-112.99996	119.7	119	26.2525	34.7969	12.9313	0.3339	4.32E-01	9.11E-02	-0.359	0.7765	0.0012	0.00E+00
697.869	10.00004	-112.99996	118.706	118	26.238	34.8014	13.0215	0.3339	4.51E-01	9.90E-02	-0.324	0.7747	0.0012	0.00E+00
698.552	10.00004	-112.99996	117.699	117	26.2166	34.7976	13.1131	0.3344	5.02E-01	1.07E-01	-0.15	0.7829	0.0011	0.00E+00
699.254	10.00004	-112.99996	116.696	116	26.1838	34.7998	13.2832	0.335	5.59E-01	1.16E-01	-0.091	0.7819	0.0012	0.00E+00
700.033	10.00004	-112.99996	115.693	115	26.1573	34.7857	13.3599	0.3359	6.22E-01	1.27E-01	-0.176	0.7864	0.0012	0.00E+00
700.996	10.00004	-112.99996	114.688	114	26.1877	34.7926	13.2366	0.3361	6.81E-01	1.37E-01	-0.294	0.7869	0.0011	0.00E+00
703.841	10.00004	-112.99996	113.673	113	26.1544	34.7943	13.4055	0.3395	5.99E-01	1.50E-01	-0.344	0.7845	0.0012	0.00E+00
706.615	10.00004	-112.99996	112.666	112	26.1347	34.7966	13.5112	0.3458	6.11E-01	1.63E-01	-0.369	0.7839	0.0012	0.00E+00
710.048	10.00004	-112.99996	111.67	111	26.0695	34.7832	13.7766	0.3451	8.44E-01	1.79E-01	-0.34	0.7801	0.0354	0.00E+00
957.919	10.00002	-112.99996	110.654	110	26.1228	34.799	13.5777	0.3453	8.17E-01	1.95E-01	-0.549	0.6686	0.1103	0.00E+00
978.24	10.00002	-112.99996	109.647	109	26.1212	34.7995	13.5876	0.3447	8.22E-01	2.14E-01	-0.568	0.6658	0.0235	0.00E+00
982.411	10.00002	-112.99996	108.629	108	26.1171	34.7993	13.6064	0.3442	7.45E-01	2.31E-01	-0.616	0.6613	-0.0002	0.00E+00
983.141	10.00002	-112.99996	107.64	107	26.1103	34.7982	13.6353	0.3445	7.99E-01	2.49E-01	-0.652	0.6646	0.0011	0.00E+00
984.071	10.00002	-112.99996	106.632	106	26.1004	34.7958	13.6736	0.3452	8.88E-01	2.73E-01	-0.512	0.6634	0.0011	0.00E+00
985.092	10.00002	-112.99996	105.626	105	26.0868	34.793	13.7288	0.3464	1.03E+00	2.98E-01	-0.579	0.6672	0.0012	0.00E+00
986.22	10.00002	-112.99996	104.619	104	26.0866	34.7924	13.7277	0.3479	1.10E+00	3.22E-01	-0.592	0.6651	0.0012	0.00E+00
987.394	10.00002	-112.99996	103.612	103	26.0911	34.7944	13.7133	0.3489	1.14E+00	3.51E-01	-0.604	0.6674	0.0012	0.00E+00
988.646	10.00001	-112.99996	102.605	102	26.0954	34.7961	13.6988	0.3509	1.22E+00	3.82E-01	-0.772	0.6667	0.0012	0.00E+00
989.814	10.00002	-112.99996	101.596	101	26.0728	34.792	13.7923	0.3513	1.11E+00	4.18E-01	-0.609	0.6648	0.0012	0.00E+00
990.758	10.00001	-112.99996	100.595	100	26.0275	34.7839	13.9791	0.3525	1.19E+00	4.57E-01	-0.727	0.6706	0.0012	0.00E+00
991.81	10	-112.99996	99.593	99	26.0221	34.7872	14.0172	0.3546	1.50E+00	5.04E-01	-0.376	0.6711	0.0012	0.00E+00
993.443	10.00002	-112.99996	98.585	98	25.9935	34.7745	14.1059	0.3547	1.62E+00	5.61E-01	-0.581	0.6719	0.0012	0.00E+00
